,Result,Result,Result,Result,Result,Result,Size Result,Size Result,Size Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Is MIS,Is MIS,Is MIS,Time,Time,Time,Time,Time,Time,Warnings,Warnings,Warnings,Warnings,Warnings,Warnings
,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic
MANN_a45.clq.txt n=1035 e=533115,"[765, 766, 767]","[56, 54, 55]",set(),"[632, 630, 631]","[952, 953, 951]","[1, 558]",3,3,0,3,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,19.1408391,3.086925745,1800,173.6561074,6.246162415,29.18092656,,,TIMEOUT,,,
p_hat1500-1.clq.txt n=1500 e=284923,set(),"[1152, 769, 1, 517, 393, 522, 523, 907, 653, 398, 399, 1040, 18, 1022, 413, 798, 1439, 416, 161, 158, 679, 936, 1450, 811, 940, 426, 1454, 430, 301, 1205, 693, 1333, 184, 57, 954, 1082, 827, 1214, 1215, 65, 577, 452, 329, 1354, 1356, 1228, 1486, 847, 82, 1363, 851, 854, 1239, 730, 475, 219, 608, 994, 1253, 488, 105, 1002, 1258, 492, 238, 1391, 1394, 886, 375, 1400, 1018, 1275, 765, 1278]",set(),"[6, 393, 1035, 653, 784, 1040, 147, 1047, 1178, 1307, 1308, 1278, 1058, 418, 1319, 936, 1450, 811, 812, 940, 430, 1075, 1205, 53, 1334, 1207, 827, 828, 702, 1216, 577, 65, 1094, 1354, 333, 78, 84, 215, 728, 475, 861, 98, 1251, 739, 742, 488, 236, 1391, 368, 1394, 508, 1406, 639]",set(),set(),0,74,0,53,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,1.794029951,1800,202.3548496,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
p_hat1500-2.clq.txt n=1500 e=284923,set(),"[1152, 769, 1, 517, 393, 522, 523, 907, 653, 398, 399, 1040, 18, 1022, 413, 798, 1439, 416, 161, 158, 679, 936, 1450, 811, 940, 426, 1454, 430, 301, 1205, 693, 1333, 184, 57, 954, 1082, 827, 1214, 1215, 65, 577, 452, 329, 1354, 1356, 1228, 1486, 847, 82, 1363, 851, 854, 1239, 730, 475, 219, 608, 994, 1253, 488, 105, 1002, 1258, 492, 238, 1391, 1394, 886, 375, 1400, 1018, 1275, 765, 1278]",set(),"[1152, 6, 399, 1042, 21, 534, 23, 1301, 1050, 1307, 413, 158, 1439, 290, 1189, 1446, 423, 1319, 811, 940, 813, 685, 301, 47, 556, 53, 1462, 57, 954, 1083, 828, 702, 577, 1090, 450, 838, 1354, 847, 1489, 82, 1363, 212, 851, 1239, 226, 994, 742, 488, 1002, 1387, 492, 495, 1391, 242, 886, 375, 508, 765]",set(),set(),0,74,0,58,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,1.480253935,1800,223.5203974,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
p_hat1500-3.clq.txt n=1500 e=847244,set(),"[417, 838, 840, 399, 847, 532, 1367, 280, 1178]",set(),"[464, 913, 1364, 68, 407, 1354]",set(),set(),0,9,0,6,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,4.200855732,1800,413.0697622,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
p_hat300_1.clq.txt n=300 e=10933,set(),"[0, 1, 131, 7, 11, 141, 142, 277, 21, 281, 154, 156, 33, 294, 166, 45, 182, 185, 186, 59, 63, 64, 68, 209, 84, 92, 232, 237, 111, 112, 240, 242, 115, 113, 247]","[0, 1, 131, 7, 11, 141, 142, 277, 21, 281, 154, 156, 33, 294, 166, 45, 182, 185, 186, 59, 63, 64, 68, 209, 84, 92, 232, 237, 111, 112, 240, 242, 115, 113, 247]","[256, 131, 133, 7, 11, 141, 142, 271, 15, 13, 16, 277, 22, 154, 288, 294, 172, 174, 49, 182, 185, 186, 59, 63, 64, 193, 194, 68, 71, 209, 84, 98, 229, 237, 111, 241, 242, 115, 247]",set(),"[0, 13, 21, 22, 26, 44, 64, 65, 68, 72, 79, 81, 85, 107, 109, 111, 127, 139, 167, 182, 186, 193, 200, 229, 237, 277, 278]",0,35,35,39,0,27,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1800,0.0659070015,377.4160604,28.74273396,1800,106.377192,TIMEOUT,,,,TIMEOUT,
p_hat300-2.clq.txt n=300 e=21928,set(),"[256, 1, 131, 133, 7, 11, 277, 281, 154, 33, 166, 45, 182, 185, 186, 59, 63, 68, 237, 111, 112, 240, 242, 115]","[256, 1, 131, 133, 7, 11, 277, 281, 154, 33, 166, 45, 182, 185, 186, 59, 63, 68, 237, 111, 112, 240, 242, 115]","[193, 131, 68, 7, 72, 202, 11, 13, 206, 209, 277, 154, 288, 98, 229, 168, 233, 237, 242, 115, 247, 59]",set(),"[4, 7, 49, 71, 112, 117, 186, 205, 209, 226, 283, 294]",0,24,24,22,0,12,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1800,0.1066253185,710.9056351,28.24153805,1800,240.4137654,TIMEOUT,,,,TIMEOUT,
p_hat300-3.clq.txt n=300 e=33390,"[201, 172, 141, 237, 81, 242, 117, 182]","[0, 194, 68, 232, 142, 52, 156, 61]","[1, 68, 72, 202, 171, 237, 175, 277, 59]","[1, 35, 225, 149]","[64, 1, 131, 217, 71, 45, 111, 17, 49, 209, 52, 84, 117, 153, 154]","[44, 113, 147, 251]",8,8,9,4,15,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,17.97804499,0.1476974487,1029.373865,20.49231625,12.08966589,146.1069565,,,,,,
p_hat700-1.clq.txt n=700 e=60999,set(),"[1, 388, 133, 518, 644, 136, 142, 654, 656, 145, 402, 403, 400, 404, 535, 542, 159, 32, 673, 288, 547, 546, 678, 425, 46, 304, 563, 52, 181, 442, 444, 66, 195, 197, 585, 337, 466, 471, 472, 601, 602, 475, 348, 88, 94, 230, 493, 124, 241, 497, 373, 119, 120, 380, 382]",set(),"[385, 513, 644, 136, 12, 142, 656, 658, 403, 404, 279, 535, 28, 414, 32, 418, 678, 679, 41, 52, 54, 442, 315, 444, 319, 66, 195, 198, 329, 462, 337, 466, 471, 472, 601, 475, 348, 613, 230, 234, 497, 373, 254, 380, 509, 382]",set(),set(),0,55,0,46,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,0.3186514378,1800,89.64064169,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
p_hat700-2.clq.txt n=700 e=121728,set(),"[1, 513, 388, 133, 136, 654, 656, 400, 528, 403, 404, 159, 32, 546, 547, 678, 46, 304, 563, 181, 315, 319, 195, 197, 585, 457, 79, 471, 472, 601, 602, 475, 348, 612, 230, 616, 493, 241, 373, 119, 634, 380, 382]",set(),"[641, 388, 136, 654, 143, 400, 656, 403, 404, 21, 535, 668, 288, 547, 678, 425, 46, 563, 52, 181, 566, 444, 197, 71, 471, 601, 602, 94, 241, 629, 119, 120, 377, 634, 382]",set(),set(),0,43,0,35,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,0.642152071,1800,115.8118672,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
p_hat700-3.clq.txt n=700 e=183010,set(),"[164, 584, 12, 269, 304, 337, 403, 471, 602]",set(),"[480, 170, 525, 214]",set(),set(),0,9,0,4,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,0.8778073788,1800,78.01811647,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
